"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Lagoa dos Três Cantos (RS)","RS","5","1.525","327,9"
"Boninal (BA)","BA","43","13.132","327,4"
"Paranaíta (MT)","MT","34","10.406","326,7"
"Afogados da Ingazeira (PE)","PE","113","34.650","326,1"
"Cordeiro (RJ)","RJ","65","19.939","326,0"
"Turuçu (RS)","RS","11","3.375","325,9"
"São Félix de Balsas (MA)","MA","15","4.611","325,3"
"Paraíso do Sul (RS)","RS","23","7.074","325,1"
"Espera Feliz (MG)","MG","72","22.253","323,6"
"Nazaré (TO)","TO","14","4.331","323,3"
"Varre-Sai (RJ)","RJ","31","9.599","323,0"
"Laranjal (MG)","MG","20","6.225","321,3"
"Campina da Lagoa (PR)","PR","48","14.949","321,1"
"Três Barras do Paraná (PR)","PR","37","11.555","320,2"
"Taquarussu (MS)","MS","11","3.446","319,2"
"Passo de Camaragibe (AL)","AL","47","14.736","318,9"
"Fontoura Xavier (RS)","RS","33","10.357","318,6"
"Altinho (PE)","PE","70","22.032","317,7"
"Boqueirão do Piauí (PI)","PI","19","5.981","317,7"
"Itiruçu (BA)","BA","40","12.612","317,2"
"Retirolândia (BA)","BA","41","12.929","317,1"
"Brejões (BA)","BA","46","14.508","317,1"
"Atalaia (PR)","PR","12","3.785","317,0"
"Condor (RS)","RS","20","6.319","316,5"
"Siqueira Campos (PR)","PR","57","18.010","316,5"
"Urussanga (SC)","SC","62","19.608","316,2"
"Brasil Novo (PA)","PA","49","15.526","315,6"
"Sítio Novo (MA)","MA","53","16.829","314,9"
"Porto Lucena (RS)","RS","16","5.089","314,4"
"Caçapava do Sul (RS)","RS","102","32.448","314,3"
"Restinga Sêca (RS)","RS","48","15.285","314,0"
"Piranga (MG)","MG","53","16.925","313,1"
"Joaquim Nabuco (PE)","PE","49","15.702","312,1"
"Bom Progresso (RS)","RS","7","2.244","311,9"
"Itaquara (BA)","BA","24","7.746","309,8"
"Lagoa Bonita do Sul (RS)","RS","8","2.584","309,6"
"Palmelo (GO)","GO","7","2.262","309,5"
"Santa Cecília do Pavão (PR)","PR","11","3.557","309,2"
"Floraí (PR)","PR","15","4.858","308,8"
"Cabixi (RO)","RO","19","6.174","307,7"
"Nova Tebas (PR)","PR","22","7.149","307,7"
"Morro Agudo de Goiás (GO)","GO","7","2.276","307,6"
"Pirapetinga (MG)","MG","31","10.093","307,1"
"Bom Jesus (PI)","PI","69","22.546","306,0"
"São Francisco de Paula (RS)","RS","61","19.960","305,6"
"Terra Roxa (PR)","PR","50","16.378","305,3"
"Almirante Tamandaré do Sul (RS)","RS","6","1.968","304,9"
"Rio Espera (MG)","MG","18","5.909","304,6"
"Una (BA)","BA","69","22.663","304,5"
"Turmalina (MG)","MG","54","17.779","303,7"
"Cocal de Telha (PI)","PI","14","4.616","303,3"
"Inhumas (GO)","GO","143","47.198","303,0"
"Jaguaquara (BA)","BA","152","50.273","302,3"
"Paraopeba (MG)","MG","67","22.170","302,2"
"Visconde do Rio Branco (MG)","MG","112","37.102","301,9"
"Santa Rosa de Lima (SC)","SC","6","1.998","300,3"
"Junqueiro (AL)","AL","72","23.997","300,0"
"Sapucaia (PA)","PA","15","5.003","299,8"
"Caxambu (MG)","MG","63","21.094","298,7"
"Colorado (PR)","PR","65","21.773","298,5"
"Miraí (MG)","MG","40","13.417","298,1"
