"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Capoeiras (PE)","PE","16","19.347","82,7"
"Itabi (SE)","SE","4","4.839","82,7"
"Mirim Doce (SC)","SC","2","2.420","82,6"
"Olho d'Água do Casado (AL)","AL","7","8.472","82,6"
"Caracaraí (RR)","RR","15","18.160","82,6"
"Presidente Kennedy (TO)","TO","3","3.632","82,6"
"Novorizonte (MG)","MG","4","4.844","82,6"
"Pendências (RN)","RN","11","13.323","82,6"
"Santa Izabel do Pará (PA)","PA","49","59.351","82,6"
"São Pedro do Sul (RS)","RS","13","15.756","82,5"
"Palmeirante (TO)","TO","4","4.848","82,5"
"Munhoz (MG)","MG","5","6.064","82,5"
"Extrema (MG)","MG","23","27.902","82,4"
"Cláudia (MT)","MT","9","10.920","82,4"
"Maratá (RS)","RS","2","2.427","82,4"
"Tibau (RN)","RN","3","3.642","82,4"
"Fortim (CE)","CE","12","14.572","82,3"
"Rio Largo (AL)","AL","58","70.436","82,3"
"Vitória do Xingu (PA)","PA","11","13.359","82,3"
"Uru (SP)","SP","1","1.215","82,3"
"Baía Formosa (RN)","RN","7","8.506","82,3"
"Pinhal (RS)","RS","2","2.432","82,2"
"Novo Jardim (TO)","TO","2","2.432","82,2"
"Rio Vermelho (MG)","MG","11","13.379","82,2"
"Iraquara (BA)","BA","18","21.919","82,1"
"Areias (SP)","SP","3","3.656","82,1"
"Carnaúba dos Dantas (RN)","RN","6","7.321","82,0"
"Cambuí (MG)","MG","21","25.631","81,9"
"Nova Bassano (RS)","RS","7","8.544","81,9"
"Serrania (MG)","MG","6","7.334","81,8"
"Itapajé (CE)","CE","39","47.688","81,8"
"Panelas (PE)","PE","21","25.688","81,8"
"São Miguel do Guamá (PA)","PA","42","51.463","81,6"
"São Jerônimo da Serra (PR)","PR","9","11.030","81,6"
"Pau D'Arco do Piauí (PI)","PI","3","3.677","81,6"
"São Domingos (GO)","GO","9","11.041","81,5"
"Serraria (PB)","PB","5","6.134","81,5"
"Machados (PE)","PE","11","13.495","81,5"
"Cachoeira Dourada (MG)","MG","2","2.455","81,5"
"São Miguel do Tapuio (PI)","PI","14","17.190","81,4"
"Arapeí (SP)","SP","2","2.456","81,4"
"Itaperuna (RJ)","RJ","76","93.397","81,4"
"Amaral Ferrador (RS)","RS","5","6.147","81,3"
"Rio Novo do Sul (ES)","ES","9","11.074","81,3"
"Fagundes Varela (RS)","RS","2","2.461","81,3"
"São Vicente do Seridó (PB)","PB","8","9.859","81,1"
"Canguaretama (RN)","RN","25","30.833","81,1"
"Estiva Gerbi (SP)","SP","8","9.872","81,0"
"Salinas (MG)","MG","31","38.260","81,0"
"Tupaciguara (MG)","MG","19","23.458","81,0"
"Gravataí (RS)","RS","202","249.479","81,0"
"Lages (SC)","SC","124","153.297","80,9"
"São João do Polêsine (RS)","RS","2","2.473","80,9"
"Cabaceiras do Paraguaçu (BA)","BA","14","17.320","80,8"
"Rio Grande do Piauí (PI)","PI","5","6.186","80,8"
"Tunas do Paraná (PR)","PR","5","6.186","80,8"
"Corumbiara (RO)","RO","7","8.668","80,8"
"Minduri (MG)","MG","3","3.717","80,7"
"Recursolândia (TO)","TO","3","3.717","80,7"
"Nova Módica (MG)","MG","3","3.720","80,6"
"Bom Retiro do Sul (RS)","RS","9","11.167","80,6"
"Itaí (SP)","SP","19","23.578","80,6"
"Serra Dourada (BA)","BA","14","17.374","80,6"
"União do Sul (MT)","MT","3","3.724","80,6"
"Diogo de Vasconcelos (MG)","MG","3","3.727","80,5"
"Naque (MG)","MG","5","6.212","80,5"
"Barreiras (BA)","BA","110","136.719","80,5"
"Santo André (PB)","PB","2","2.486","80,5"
"Avanhandava (SP)","SP","9","11.200","80,4"
"Andorinha (BA)","BA","12","14.934","80,4"
"Alto Santo (CE)","CE","12","14.934","80,4"
"Wenceslau Braz (MG)","MG","2","2.489","80,4"
"Rio Grande (RS)","RS","154","191.686","80,3"
"Porto Rico (PR)","PR","2","2.490","80,3"
"Capão do Leão (RS)","RS","19","23.657","80,3"
"Barro (CE)","CE","17","21.167","80,3"
"Beneditinos (PI)","PI","8","9.971","80,2"
"Mutunópolis (GO)","GO","3","3.740","80,2"
"Capão da Canoa (RS)","RS","33","41.145","80,2"
"Gaúcha do Norte (MT)","MT","5","6.235","80,2"
"Miguel Leão (PI)","PI","1","1.247","80,2"
"Itapiranga (SC)","SC","12","14.972","80,1"
"Macau (RN)","RN","23","28.699","80,1"
"Davinópolis (MA)","MA","10","12.478","80,1"
"Lago dos Rodrigues (MA)","MA","7","8.740","80,1"
"Raposos (MG)","MG","12","14.998","80,0"
"Picada Café (RS)","RS","4","5.000","80,0"
"Chapada do Norte (MG)","MG","12","15.006","80,0"
"Raposa (MA)","MA","21","26.294","79,9"
"Fartura do Piauí (PI)","PI","4","5.015","79,8"
"Três Pontas (MG)","MG","42","52.663","79,8"
"Guaratinga (BA)","BA","17","21.337","79,7"
"Craíbas (AL)","AL","18","22.596","79,7"
"São José de Piranhas (PB)","PB","15","18.854","79,6"
"Ribeirão do Largo (BA)","BA","8","10.056","79,6"
"Japonvar (MG)","MG","6","7.542","79,6"
"Cruz (CE)","CE","18","22.627","79,6"
"Dores do Rio Preto (ES)","ES","5","6.287","79,5"
"Bento Fernandes (RN)","RN","4","5.031","79,5"
"Nova Odessa (SP)","SP","40","50.333","79,5"
"Tocos do Moji (MG)","MG","3","3.775","79,5"
"Indiaporã (SP)","SP","3","3.775","79,5"
"Poço Branco (RN)","RN","11","13.843","79,5"
"Tibau do Sul (RN)","RN","9","11.332","79,4"
"Lagoa Nova (RN)","RN","11","13.856","79,4"
"Santa Cruz (PB)","PB","5","6.301","79,4"
"Piranguçu (MG)","MG","4","5.046","79,3"
"Girau do Ponciano (AL)","AL","29","36.597","79,2"
"Nova Olinda do Maranhão (MA)","MA","15","18.937","79,2"
"Tangará (RN)","RN","11","13.896","79,2"
"São João do Manteninha (MG)","MG","4","5.057","79,1"
"Meridiano (SP)","SP","3","3.793","79,1"
"Iranduba (AM)","AM","32","40.469","79,1"
"Nova Russas (CE)","CE","24","30.376","79,0"
"Alto Alegre dos Parecis (RO)","RO","10","12.663","79,0"
"Aral Moreira (MS)","MS","8","10.134","78,9"
"Guararema (SP)","SP","20","25.348","78,9"
"Serra Caiada (RN)","RN","7","8.872","78,9"
"São Luis do Piauí (PI)","PI","2","2.535","78,9"
"Prata (PB)","PB","3","3.809","78,8"
"Porto Firme (MG)","MG","8","10.164","78,7"
"Curaçá (BA)","BA","25","31.806","78,6"
"Naviraí (MS)","MS","36","45.821","78,6"
"Igarapé-Açu (PA)","PA","28","35.639","78,6"
"Apodi (RN)","RN","27","34.390","78,5"
"Presidente Juscelino (MG)","MG","3","3.822","78,5"
"Joanópolis (SP)","SP","9","11.483","78,4"
"Itabela (BA)","BA","22","28.071","78,4"
"Maracanã (PA)","PA","22","28.072","78,4"
"Trombudo Central (SC)","SC","5","6.382","78,3"
"Rio do Prado (MG)","MG","4","5.106","78,3"
"Capitão Enéas (MG)","MG","11","14.045","78,3"
"Santa Cruz Cabrália (BA)","BA","20","25.543","78,3"
"Tupandi (RS)","RS","3","3.834","78,2"
"Bonito (MS)","MS","15","19.174","78,2"
"Alta Floresta (MT)","MT","38","48.575","78,2"
"Cariús (CE)","CE","14","17.910","78,2"
"Penha (SC)","SC","19","24.323","78,1"
"Teresópolis (RJ)","RJ","125","160.047","78,1"
"Sabinópolis (MG)","MG","12","15.365","78,1"
"Ananindeua (PA)","PA","367","470.333","78,0"
"Igrapiúna (BA)","BA","11","14.105","78,0"
"Patrocínio (MG)","MG","63","80.794","78,0"
"Nova Friburgo (RJ)","RJ","138","177.105","77,9"
"Cacimba de Dentro (PB)","PB","13","16.695","77,9"
"Francinópolis (PI)","PI","4","5.137","77,9"
"Virmond (PR)","PR","3","3.859","77,7"
"Várzea (RN)","RN","4","5.147","77,7"
"João Pessoa (PB)","PB","555","714.225","77,7"
"Lagoa da Canoa (AL)","AL","14","18.025","77,7"
"Franco da Rocha (SP)","SP","101","130.140","77,6"
"Sucupira do Norte (MA)","MA","8","10.309","77,6"
"Chapada de Areia (TO)","TO","1","1.289","77,6"
"Paraná (RN)","RN","3","3.868","77,6"
"Sítio Novo do Tocantins (TO)","TO","7","9.027","77,5"
"Açu (RN)","RN","41","52.894","77,5"
"Santa Maria do Cambucá (PE)","PE","10","12.902","77,5"
"Sales Oliveira (SP)","SP","8","10.327","77,5"
"Vertente do Lério (PE)","PE","6","7.751","77,4"
"Piacatu (SP)","SP","4","5.168","77,4"
"Croatá (CE)","CE","13","16.799","77,4"
"Medicilândia (PA)","PA","21","27.146","77,4"
"Wagner (BA)","BA","7","9.050","77,3"
"Calçoene (AP)","AP","7","9.051","77,3"
"Nova Araçá (RS)","RS","3","3.879","77,3"
"Mara Rosa (GO)","GO","8","10.348","77,3"
"Heliópolis (BA)","BA","10","12.936","77,3"
"Lagoinha do Piauí (PI)","PI","2","2.589","77,2"
"Tanque do Piauí (PI)","PI","2","2.593","77,1"
"Jaguaribe (CE)","CE","26","33.713","77,1"
"Araçagi (PB)","PB","13","16.858","77,1"
"Nhandeara (SP)","SP","8","10.377","77,1"
"Ibiapina (CE)","CE","18","23.352","77,1"
"São José do Alegre (MG)","MG","3","3.895","77,0"
"Logradouro (PB)","PB","3","3.895","77,0"
"São Bento do Trairí (RN)","RN","3","3.895","77,0"
"Clevelândia (PR)","PR","13","16.890","77,0"
"Hidrolina (GO)","GO","3","3.898","77,0"
"Morro da Garça (MG)","MG","2","2.599","77,0"
"São Domingos do Norte (ES)","ES","6","7.802","76,9"
"Carpina (PE)","PE","57","74.127","76,9"
"Jaborá (SC)","SC","3","3.902","76,9"
"Cumaru (PE)","PE","13","16.916","76,9"
"Bandeira do Sul (MG)","MG","4","5.205","76,8"
"Ijuí (RS)","RS","59","76.795","76,8"
"Canhoba (SE)","SE","3","3.908","76,8"
"Riacho de Santana (BA)","BA","25","32.579","76,7"
"São Tomé (PR)","PR","4","5.219","76,6"
"Fortuna (MA)","MA","13","16.963","76,6"
"Barra do Jacaré (PR)","PR","2","2.610","76,6"
"Pentecoste (CE)","CE","27","35.244","76,6"
"Monte do Carmo (TO)","TO","5","6.538","76,5"
"Boa Vista do Sul (RS)","RS","2","2.622","76,3"
"Tubarão (SC)","SC","72","94.465","76,2"
"Governador Edison Lobão (MA)","MA","12","15.750","76,2"
"Estiva (MG)","MG","8","10.503","76,2"
"Monte Castelo (SP)","SP","3","3.941","76,1"
"Piraúba (MG)","MG","8","10.517","76,1"
"Currais Novos (RN)","RN","32","42.081","76,0"
"Fernando de Noronha (PE)","PE","2","2.632","76,0"
"Rancho Queimado (SC)","SC","2","2.633","76,0"
"Sete Quedas (MS)","MS","8","10.533","76,0"
"São Bento do Una (PE)","PE","40","52.666","76,0"
"Iomerê (SC)","SC","2","2.634","75,9"
"Anicuns (GO)","GO","15","19.771","75,9"
"Morro da Fumaça (SC)","SC","12","15.830","75,8"
"São João da Boa Vista (SP)","SP","62","81.801","75,8"
"Santa Rita do Sapucaí (MG)","MG","28","36.943","75,8"
"Angelândia (MG)","MG","6","7.917","75,8"
"Pedro II (PI)","PI","28","36.988","75,7"
"Paula Freitas (PR)","PR","4","5.284","75,7"
"Damolândia (GO)","GO","2","2.643","75,7"
"Taiúva (SP)","SP","4","5.289","75,6"
"Vitória da Conquista (BA)","BA","229","302.852","75,6"
"Erechim (RS)","RS","71","94.007","75,5"
"Icaraí de Minas (MG)","MG","8","10.608","75,4"
"Tabaí (RS)","RS","3","3.981","75,4"
"Barretos (SP)","SP","83","110.172","75,3"
"Colônia Leopoldina (AL)","AL","15","19.915","75,3"
"Taquaral (SP)","SP","2","2.657","75,3"
"Serrinha (BA)","BA","56","74.429","75,2"
"Viçosa (MG)","MG","53","70.459","75,2"
"Piedade de Ponte Nova (MG)","MG","3","3.989","75,2"
"Uibaí (BA)","BA","10","13.310","75,1"
"Virgem da Lapa (MG)","MG","10","13.314","75,1"
"Lutécia (SP)","SP","2","2.663","75,1"
"Coruripe (AL)","AL","39","51.929","75,1"
"Curimatá (PI)","PI","8","10.662","75,0"
"Tamarana (PR)","PR","9","11.999","75,0"
"Coronel Ezequiel (RN)","RN","4","5.333","75,0"
"Porto Alegre (RS)","RS","1.032","1.376.007","75,0"
"São Domingos das Dores (MG)","MG","4","5.338","74,9"
"Afrânio (PE)","PE","13","17.358","74,9"
"Felisburgo (MG)","MG","5","6.679","74,9"
"Ibimirim (PE)","PE","20","26.718","74,9"
"Floresta Azul (BA)","BA","8","10.688","74,9"
"Canaã dos Carajás (PA)","PA","20","26.734","74,8"
"Serra Nova Dourada (MT)","MT","1","1.337","74,8"
"Tocantínia (TO)","TO","5","6.689","74,7"
"Santo Antônio do Monte (MG)","MG","19","25.421","74,7"
"Nantes (SP)","SP","2","2.679","74,7"
"Tamboril (CE)","CE","19","25.477","74,6"
"Bela Vista (MS)","MS","17","22.797","74,6"
"Meruoca (CE)","CE","10","13.417","74,5"
"Morada Nova de Minas (MG)","MG","6","8.054","74,5"
"Catende (PE)","PE","28","37.587","74,5"
"Coração de Jesus (MG)","MG","19","25.506","74,5"
"Paranatama (PE)","PE","8","10.742","74,5"
"Boa Esperança do Iguaçu (PR)","PR","2","2.693","74,3"
"Limeira do Oeste (MG)","MG","5","6.737","74,2"
"Cachoeirinha (RS)","RS","86","115.967","74,2"
"Gonçalves (MG)","MG","3","4.048","74,1"
"Três Lagoas (MS)","MS","74","100.013","74,0"
"Itapecerica da Serra (SP)","SP","112","151.478","73,9"
"Ocauçu (SP)","SP","3","4.058","73,9"
"Paranavaí (PR)","PR","59","79.895","73,8"
"Pelotas (RS)","RS","236","319.600","73,8"
"Inimutaba (MG)","MG","5","6.772","73,8"
"Mira Estrela (SP)","SP","2","2.709","73,8"
"Eunápolis (BA)","BA","74","100.268","73,8"
"Vista Alegre (RS)","RS","2","2.712","73,7"
"Bom Jardim (PE)","PE","28","37.969","73,7"
"Júlio de Castilhos (RS)","RS","14","18.987","73,7"
"Antônio Martins (RN)","RN","5","6.783","73,7"
"Barra do Ouro (TO)","TO","3","4.072","73,7"
"Juazeiro (BA)","BA","145","197.019","73,6"
"Jacaré dos Homens (AL)","AL","4","5.436","73,6"
"São José de Mipibu (RN)","RN","29","39.431","73,5"
"Fartura (SP)","SP","11","14.962","73,5"
"Guapiara (SP)","SP","13","17.687","73,5"
"Quirinópolis (GO)","GO","31","42.191","73,5"
"Alegria (RS)","RS","3","4.083","73,5"
"Casinhas (PE)","PE","10","13.611","73,5"
"Centenário do Sul (PR)","PR","8","10.890","73,5"
"Arantina (MG)","MG","2","2.723","73,4"
"Viamão (RS)","RS","172","234.252","73,4"
"Novo Santo Antônio (PI)","PI","2","2.724","73,4"
"Cruz Machado (PR)","PR","13","17.709","73,4"
"Redenção (CE)","CE","20","27.256","73,4"
"Maranhãozinho (MA)","MA","10","13.628","73,4"
"Caldeirão Grande (BA)","BA","9","12.273","73,3"
"Barreirinha (AM)","AM","20","27.275","73,3"
"Manoel Viana (RS)","RS","5","6.819","73,3"
"Moreilândia (PE)","PE","8","10.913","73,3"
"Piau (MG)","MG","2","2.729","73,3"
"Paranatinga (MT)","MT","14","19.105","73,3"
"Piraí do Norte (BA)","BA","7","9.555","73,3"
"Caraúbas do Piauí (PI)","PI","4","5.460","73,3"
"Coxilha (RS)","RS","2","2.734","73,2"
"Governador Eugênio Barros (MA)","MA","10","13.686","73,1"
"Ipatinga (MG)","MG","171","234.031","73,1"
"Joaquim Pires (PI)","PI","10","13.692","73,0"
"Quatipuru (PA)","PA","9","12.328","73,0"
"Barroso (MG)","MG","14","19.188","73,0"
"Penaforte (CE)","CE","6","8.224","73,0"
"Barra da Estiva (BA)","BA","16","21.935","72,9"
"Tanguá (RJ)","RJ","22","30.173","72,9"
"Harmonia (RS)","RS","3","4.115","72,9"
"Itapemirim (ES)","ES","22","30.184","72,9"
"Criciúma (SC)","SC","137","188.021","72,9"
"Ninheira (MG)","MG","7","9.607","72,9"
"Wanderley (BA)","BA","9","12.356","72,8"
"Ipiranga de Goiás (GO)","GO","2","2.746","72,8"
"Santa Clara do Sul (RS)","RS","4","5.492","72,8"
"Fernandópolis (SP)","SP","46","63.176","72,8"
"Saloá (PE)","PE","11","15.110","72,8"
"Guarani de Goiás (GO)","GO","3","4.121","72,8"
"Saldanha Marinho (RS)","RS","2","2.749","72,8"
"Nova Glória (GO)","GO","6","8.249","72,7"
"Calçado (PE)","PE","8","10.999","72,7"
"Panambi (RS)","RS","27","37.128","72,7"
"Aragarças (GO)","GO","13","17.884","72,7"
"Turvo (PR)","PR","10","13.781","72,6"
"Goiatuba (GO)","GO","23","31.700","72,6"
"Rosário da Limeira (MG)","MG","3","4.135","72,6"
"Rubim (MG)","MG","7","9.649","72,5"
"Lagoa dos Patos (MG)","MG","3","4.136","72,5"
"Pitangui (MG)","MG","18","24.821","72,5"
"São Pedro do Butiá (RS)","RS","2","2.758","72,5"
"Jaboatão dos Guararapes (PE)","PE","463","638.841","72,5"
"São Vicente Ferrer (MA)","MA","15","20.705","72,4"
"Lastro (PB)","PB","2","2.761","72,4"
"Soledade de Minas (MG)","MG","4","5.524","72,4"
"Serrolândia (BA)","BA","9","12.439","72,4"
"Jumirim (SP)","SP","2","2.766","72,3"
"Tufilândia (MA)","MA","4","5.534","72,3"
"Seropédica (RJ)","RJ","52","71.961","72,3"
"Santa Luzia do Pará (PA)","PA","14","19.383","72,2"
"Pilões (PB)","PB","5","6.934","72,1"
"Araçoiaba (PE)","PE","13","18.052","72,0"
"Sertânia (PE)","PE","24","33.357","71,9"
"Barão (RS)","RS","4","5.562","71,9"
"Campos do Jordão (SP)","SP","34","47.278","71,9"
"São José do Seridó (RN)","RN","3","4.176","71,8"
"Tenente Ananias (RN)","RN","7","9.750","71,8"
"Casserengue (PB)","PB","5","6.968","71,8"
"Santa Rosa (RS)","RS","48","66.938","71,7"
"Ariranha (SP)","SP","6","8.371","71,7"
"Pedro Velho (RN)","RN","10","13.975","71,6"
"Linhares (ES)","ES","100","139.774","71,5"
"Lorena (SP)","SP","58","81.107","71,5"
"Governador Celso Ramos (SC)","SC","9","12.587","71,5"
"Martins Soares (MG)","MG","5","6.995","71,5"
"Jundiá (AL)","AL","3","4.198","71,5"
"Salto Veloso (SC)","SC","3","4.198","71,5"
"Braganey (PR)","PR","4","5.600","71,4"
"União do Oeste (SC)","SC","2","2.801","71,4"
"Apiacás (MT)","MT","6","8.410","71,3"
"Malhada de Pedras (BA)","BA","6","8.411","71,3"
"Quaraí (RS)","RS","16","22.441","71,3"
"Macaíba (RN)","RN","49","68.791","71,2"
"Santa Maria de Jetibá (ES)","ES","24","33.697","71,2"
"Aratuípe (BA)","BA","6","8.426","71,2"
"Mirinzal (MA)","MA","10","14.053","71,2"
"Francisco Santos (PI)","PI","6","8.432","71,2"
"Alto Paraguai (MT)","MT","7","9.841","71,1"
"Itaporã (MS)","MS","15","21.102","71,1"
"Argirita (MG)","MG","2","2.815","71,0"
"Araguari (MG)","MG","76","107.034","71,0"
"Boa Vista do Gurupi (MA)","MA","5","7.042","71,0"
"Jacupiranga (SP)","SP","12","16.901","71,0"
"São Francisco de Sales (MG)","MG","4","5.634","71,0"
"Buriti (MA)","MA","19","26.769","71,0"
"Itinga (MG)","MG","10","14.089","71,0"
"Camalaú (PB)","PB","4","5.636","71,0"
"Ibotirama (BA)","BA","18","25.378","70,9"
"Tomé-Açu (PA)","PA","40","56.443","70,9"
"Nova Viçosa (BA)","BA","27","38.145","70,8"
"Três Cachoeiras (RS)","RS","7","9.896","70,7"
"Nova Aliança do Ivaí (PR)","PR","1","1.416","70,6"
"Pedro Régis (PB)","PB","4","5.666","70,6"
"Água Clara (MS)","MS","9","12.749","70,6"
"Ipameri (GO)","GO","17","24.082","70,6"
"Montanhas (RN)","RN","8","11.338","70,6"
"Jardim do Mulato (PI)","PI","3","4.252","70,6"
"Chã Preta (AL)","AL","5","7.087","70,6"
"Iporanga (SP)","SP","3","4.253","70,5"
"Lupércio (SP)","SP","3","4.253","70,5"
"Mogi das Cruzes (SP)","SP","270","382.857","70,5"
"Estrela (RS)","RS","21","29.782","70,5"
"São Joaquim (SC)","SC","17","24.117","70,5"
"Jitaúna (BA)","BA","10","14.193","70,5"
"São Mateus (ES)","ES","76","107.912","70,4"
"Cajueiro da Praia (PI)","PI","5","7.104","70,4"
"Espigão D'Oeste (RO)","RO","20","28.435","70,3"
"Ibicoara (BA)","BA","12","17.065","70,3"
"Domingos Martins (ES)","ES","22","31.325","70,2"
"Ijaci (MG)","MG","4","5.697","70,2"
"Engenheiro Coelho (SP)","SP","11","15.674","70,2"
"Feira Grande (AL)","AL","15","21.376","70,2"
"Passagem (RN)","RN","2","2.851","70,2"
"Tianguá (CE)","CE","48","68.446","70,1"
"Itaporanga (PB)","PB","16","22.841","70,0"
"Catanduvas (PR)","PR","7","9.995","70,0"
"Taquaruçu do Sul (RS)","RS","2","2.856","70,0"
"São Bonifácio (SC)","SC","2","2.858","70,0"
"Erebango (RS)","RS","2","2.862","69,9"
"São Miguel das Missões (RS)","RS","5","7.155","69,9"
"Canoinhas (SC)","SC","36","51.621","69,7"
"Gonçalves Dias (MA)","MA","12","17.216","69,7"
"Santo Antônio do Jacinto (MG)","MG","8","11.483","69,7"
"Dourados (MS)","MS","134","192.473","69,6"
"Rio Bananal (ES)","ES","12","17.242","69,6"
"Mariluz (PR)","PR","7","10.060","69,6"
"Itapipoca (CE)","CE","80","115.039","69,5"
"Reserva do Iguaçu (PR)","PR","5","7.190","69,5"
"São Salvador do Tocantins (TO)","TO","2","2.876","69,5"
"Timbaúba (PE)","PE","37","53.215","69,5"
"Lençóis Paulista (SP)","SP","42","60.476","69,4"
"Santa Helena (PB)","PB","4","5.760","69,4"
"Santa Rita de Caldas (MG)","MG","6","8.643","69,4"
"Lobato (PR)","PR","3","4.322","69,4"
"Angelim (PE)","PE","7","10.086","69,4"
"Belém do São Francisco (PE)","PE","14","20.188","69,3"
"Ceres (GO)","GO","14","20.198","69,3"
"Marco (CE)","CE","17","24.539","69,3"
"Serranópolis de Minas (MG)","MG","3","4.331","69,3"
"Tramandaí (RS)","RS","28","40.436","69,2"
"Comendador Gomes (MG)","MG","2","2.890","69,2"
"Pires Ferreira (CE)","CE","7","10.122","69,2"
"Vargem Grande (MA)","MA","34","49.165","69,2"
"Itaju do Colônia (BA)","BA","5","7.234","69,1"
"Senador Alexandre Costa (MA)","MA","7","10.130","69,1"
"São Romão (MG)","MG","7","10.130","69,1"
"Lagoa da Confusão (TO)","TO","7","10.131","69,1"
"Campo Redondo (RN)","RN","7","10.132","69,1"
"Taiaçu (SP)","SP","4","5.790","69,1"
"Matias Barbosa (MG)","MG","9","13.034","69,1"
"Barbacena (MG)","MG","85","123.239","69,0"
"Curvelo (MG)","MG","50","72.500","69,0"
"Anta Gorda (RS)","RS","4","5.801","69,0"
"Floreal (SP)","SP","2","2.905","68,8"
"Jaupaci (GO)","GO","2","2.906","68,8"
"Sobrado (PB)","PB","5","7.267","68,8"
"Bodocó (PE)","PE","24","34.882","68,8"
"Zortéa (SC)","SC","2","2.908","68,8"
"Paranã (TO)","TO","7","10.178","68,8"
"Santa Terezinha (MT)","MT","5","7.275","68,7"
"Desterro do Melo (MG)","MG","2","2.911","68,7"
"Sacramento (MG)","MG","16","23.302","68,7"
"Guaiúba (CE)","CE","16","23.311","68,6"
"Rio Maria (PA)","PA","12","17.489","68,6"
"Cachoeira de Pajeú (MG)","MG","6","8.753","68,5"
"Alvorada (RS)","RS","132","192.670","68,5"
"Barão de Cocais (MG)","MG","19","27.742","68,5"
"Itaparica (BA)","BA","14","20.458","68,4"
"Carnaubeira da Penha (PE)","PE","8","11.695","68,4"
"Xambrê (PR)","PR","4","5.849","68,4"
"Santa Luzia D'Oeste (RO)","RO","6","8.776","68,4"
"Mostardas (RS)","RS","8","11.705","68,3"
"Vargem Grande Paulista (SP)","SP","29","42.483","68,3"
"Itaguari (GO)","GO","3","4.398","68,2"
"Bela Vista do Maranhão (MA)","MA","7","10.269","68,2"
"Novo Repartimento (PA)","PA","42","61.658","68,1"
"Bernardo Sayão (TO)","TO","3","4.408","68,1"
"Pedra Branca (CE)","CE","28","41.187","68,0"
"Mesquita (MG)","MG","4","5.886","68,0"
"Nonoai (RS)","RS","8","11.772","68,0"
"Vera Mendes (PI)","PI","2","2.946","67,9"
"Ilha Grande (PI)","PI","6","8.839","67,9"
"São Miguel do Oeste (SC)","SC","24","35.358","67,9"
"Diadema (SP)","SP","260","383.053","67,9"
"Cezarina (GO)","GO","5","7.373","67,8"
"Rurópolis (PA)","PA","27","39.820","67,8"
"Teutônia (RS)","RS","18","26.553","67,8"
"Espumoso (RS)","RS","10","14.754","67,8"
"Emilianópolis (SP)","SP","2","2.951","67,8"
"Presidente Prudente (SP)","SP","138","203.900","67,7"
"Juazeiro do Norte (CE)","CE","168","248.291","67,7"
"Miranda (MS)","MS","17","25.153","67,6"
"Sooretama (ES)","ES","16","23.706","67,5"
"Coronel José Dias (PI)","PI","3","4.446","67,5"
"Cabo Frio (RJ)","RJ","123","182.291","67,5"
"Antônio Almeida (PI)","PI","2","2.965","67,5"
"Inhapi (AL)","AL","12","17.791","67,4"
"Iguape (SP)","SP","19","28.173","67,4"
"São Francisco de Goiás (GO)","GO","4","5.932","67,4"
"Deodápolis (MS)","MS","8","11.871","67,4"
"Simões Filho (BA)","BA","79","117.278","67,4"
"Salto do Lontra (PR)","PR","9","13.369","67,3"
"Santa Leopoldina (ES)","ES","8","11.886","67,3"
"São Gotardo (MG)","MG","21","31.247","67,2"
"Teixeira de Freitas (BA)","BA","92","136.892","67,2"
"Entre Rios do Sul (RS)","RS","2","2.976","67,2"
"Valparaíso (SP)","SP","15","22.323","67,2"
"Inocência (MS)","MS","5","7.442","67,2"
"Placas (PA)","PA","16","23.816","67,2"
"Cianorte (PR)","PR","46","68.520","67,1"
"Lins (SP)","SP","47","70.045","67,1"
"Santana do Jacaré (MG)","MG","3","4.473","67,1"
"Riolândia (SP)","SP","7","10.454","67,0"
"Caturité (PB)","PB","3","4.493","66,8"
"Ipaba (MG)","MG","11","16.482","66,7"
"Alfenas (MG)","MG","48","71.927","66,7"
"Ribeirão Bonito (SP)","SP","8","11.991","66,7"
"Macapá (AP)","AP","270","404.755","66,7"
"Areiópolis (SP)","SP","7","10.494","66,7"
"Santa Rosa do Tocantins (TO)","TO","3","4.498","66,7"
"Lagoa Salgada (RN)","RN","5","7.498","66,7"
"José Gonçalves de Minas (MG)","MG","3","4.499","66,7"
"Itapecuru Mirim (MA)","MA","41","61.574","66,6"
"Nova Nazaré (MT)","MT","2","3.004","66,6"
"Jupi (PE)","PE","9","13.523","66,6"
"Buritama (SP)","SP","10","15.030","66,5"
"Mongaguá (SP)","SP","30","45.116","66,5"
"Chorozinho (CE)","CE","13","19.561","66,5"
"Araporã (MG)","MG","4","6.020","66,4"
"Itaguara (MG)","MG","8","12.040","66,4"
"Itaberaí (GO)","GO","23","34.616","66,4"
"Córrego Novo (MG)","MG","2","3.012","66,4"
"Ressaquinha (MG)","MG","3","4.518","66,4"
"Araputanga (MT)","MT","10","15.115","66,2"
"Barueri (SP)","SP","158","238.922","66,1"
"Rio Brilhante (MS)","MS","20","30.269","66,1"
"Fernão (SP)","SP","1","1.514","66,1"
"São Caetano do Sul (SP)","SP","96","145.354","66,0"
"Brotas (SP)","SP","14","21.205","66,0"
"Salto de Pirapora (SP)","SP","26","39.430","65,9"
"Francisco Beltrão (PR)","PR","51","77.394","65,9"
"Uberlândia (MG)","MG","390","592.287","65,8"
"Itapira (SP)","SP","44","66.828","65,8"
